missione;amministrazione_titolare;tipologia_intervento;misura;denominazione;trimestre;anno;stato_attuazione
M2C2;Ministero delle infrastrutture e della mobilità sostenibili (MIMS) in collaborazione con MISE e in sinergia con MITE;Investimento;Investimento 5.3 - Bus elettrici;Entrata in vigore di un decreto ministeriale che individua l'ammontare delle risorse disponibili per raggiungere lo scopo dell'intervento (filiera degli autobus) ovvero il finanziamento di progetti di trasformazione dell'industria di produzione di autobus per la produzione di veicoli elettrici.;4;2021;in corso
M2C3;Ministero della transizione ecologica (MITE);Investimento;Investimento 2.1- Rafforzament o dell'Ecobonus e del Sisma bonus per l'efficienza energetica e la sicurezza degli edifici.;Entrata in vigore della proroga del Superbonus;4;2021;conseguito
M2C4;Ministero della transizione ecologica (MITE);Riforma;Riforma 4.2 - Misure per garantire la piena capacità gestionale per i servizi idrici integrati;Riforma del quadro giuridico per una migliore gestione e un uso sostenibile dell'acqua;4;2021;in corso
M3C2;Ministero dell'Economia e delle Finanze (MEF) / MIMS;Riforma;"Riforma 2.1 - Attuazione di uno ""Sportello Unico Doganale""";Entrata in vigore del decreto riguardante lo Sportello Unico Doganale. Il decreto deve definire i metodi e le specifiche dello Sportello Unico Doganale in conformità al regolamento (UE) n. 1239/2019 relativo all'attuazione dell'interfaccia unica marittima europea e al regolamento (UE) 2020/1056 del Parlamento europeo e del Consiglio, del 15 luglio 2020, relativo alle informazioni elettroniche sul trasporto merci (eFTI).;4;2021;in corso
M4C1;Ministero dell'Università e della Ricerca (MUR);Riforma;"Riforma 1.5: Riforma delle classi di laurea; Riforma 1.6: Riforma delle lauree abilitanti per determinate professioni; Riforma 4.1: Riforma dei dottorati";"Entrata in vigore delle riforme del sistema di istruzione terziaria al fine di migliorare i risultati scolastici (legislazione primaria) in materia di: a) lauree abilitanti; b) classi di laurea; c) riforma dei dottorati.";4;2021;in corso
M4C1;Ministero dell'Università e della Ricerca (MUR);Investimento;Investimento 1.7 - Borse di studio per l'accesso all'università;"Entrata in vigore di decreti ministeriali di riforma delle borse di studio al fine di migliorare l'accesso
all'istruzione terziaria.";4;2021;in corso
M5C1;Ministero del lavoro e delle politiche sociali (MLPS)/ANPAL;Riforma;Riforma 1- ALMPS e formazione professionale;"Entrata in vigore della normativa che istituisce il programma nazionale ""Garanzia di occupabilità dei lavoratori"" (GOL) e di un decreto interministeriale che istituisce il Piano Nazionale Nuove Competenze";4;2021;in corso
M5C2;PCM Dip. Disabilità;Riforma;Riforma 1 - Legge quadro sulle disabilità;Entrata in vigore della legge quadro per rafforzare l'autonomia delle persone con disabilità;4;2021;in corso
M5C2;Ministero del lavoro e delle politiche sociali (MLPS);Investimento;Investimento 1 - Sostegno alle persone vulnerabili e prevenzione dell'istituzion alizzazione degli anziani non autosufficienti;Entrata in vigore del piano operativo in cui vengano definiti  i requisiti dei progetti finalizzati a fornire servizi alle persone vulnerabili e che saranno presentati dagli enti locali;4;2021;in corso
M1C2;Ministero degli affari esteri e della cooperazione internazionale (MAECI);Investimento;Investimento 5.1: Rifinanziame nto e ridefinizione del Fondo 394/81 gestito da SIMEST;Almeno altre 4 000 PMI dovranno fruire del sostegno  del Fondo 394/81.;4;2021;in corso
